"filename", "language", "Ignore", "Shell Script", "Docker", "Python", "HTML", "Markdown", "JavaScript", "JSON", "Less", "XML", "JSON with Comments", "CSS", "Ini", "toml", "comment", "blank", "total"
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/snippets/watercolor.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/style.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 36, 23, 463
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Journal/settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Journal/snippets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Journal/style.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 489, 0, 0, 0, 0, 0, 51, 20, 560
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/assets.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 2, 35
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/coverPageBanner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/discordOfManyThings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/horizontalRule.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/naturalCritLogoRed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/naturalCritLogoWhite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/assets/partCoverHeaderDMG.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/codeMirror/customEditorStyles.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 3, 0, 88
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/codeMirror/customThemes/darkbrewery-v301.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 20, 8, 129
